entry_at,field1,field2
2022-07-12 16:02:25,30.48,43.88
2022-07-12 16:03:05,32.63,43.99
2022-07-12 16:03:45,32.43,44.09
2022-07-12 16:04:25,32.59,44.21
2022-07-12 16:05:05,31.58,44.34
2022-07-12 16:05:45,31.75,44.59
2022-07-12 16:06:25,32.55,44.72
2022-07-12 16:07:05,33.22,44.83
2022-07-12 16:07:45,31.39,44.94
2022-07-12 16:08:25,32.17,45.05
2022-07-12 16:09:05,31.25,45.2
2022-07-12 16:09:45,31.99,45.26
2022-07-12 16:10:25,32.16,45.36
2022-07-12 16:11:05,32.96,45.45
